date,well_name,hover_open,pressure_down,temperature_down,chock_size,pressure_top,temprature_top,chocke_pressure,oil,gas,water,water_i,FLOW_KIND
2008-04-23,NO 15/9-F-12 H,24.0,260.55793520833333,105.77106875,31.487272708333332,91.85997979166666,73.58424958333333,60.253108125,2735.53,422115.01,-14.19,,production
2008-04-24,NO 15/9-F-12 H,24.0,260.1265817021277,105.76913127659574,30.814254166666668,91.57752978723404,73.69553574468085,59.93757872340426,2730.33,474459.4,93.87,,production
2008-04-25,NO 15/9-F-12 H,24.0,260.523110625,105.78107645833333,31.498908541666665,91.77847916666667,74.27099604166666,60.088869375,2727.65,480456.7,4.22,,production
2008-04-26,NO 15/9-F-12 H,24.0,261.1412585416667,105.79446541666667,31.412461458333333,92.23985458333334,73.41670208333333,60.552660625,2747.01,481822.53,3.81,,production
2008-04-27,NO 15/9-F-12 H,15.95833,260.41739820244976,105.81602899604157,31.489733333333334,90.71154963927303,75.75836009188932,58.91078561042415,1985.59,350826.25,2.76,,production
2008-04-29,NO 15/9-F-12 H,5.2463,263.68989259173134,105.50222119665288,25.84310333333333,89.00480916665079,51.514422381487904,60.10644580866516,546.58,90823.83,4.76,,production
2008-04-30,NO 15/9-F-12 H,24.0,261.28155145833335,105.77952354166666,32.543967916666666,90.86234625,68.96561166666666,58.916819583333336,3011.83,459764.68,14.0,,production
2008-05-01,NO 15/9-F-12 H,24.0,260.78862,105.83854541666666,33.43435083333333,90.66983479166667,74.21000583333333,58.501581875,3167.59,471209.85,3.44,,production
2008-05-02,NO 15/9-F-12 H,24.0,261.179134375,105.85250083333334,33.39043354166667,90.771511875,75.90691833333334,58.588802916666666,3163.92,486368.03,4.43,,production
2008-05-03,NO 15/9-F-12 H,24.0,261.6092629166667,105.86265208333333,33.373732708333335,91.06007666666666,76.329415625,58.88368583333333,3173.19,474305.4,4.44,,production
2008-05-04,NO 15/9-F-12 H,24.0,262.08819020833334,105.87273,33.37489,91.37104229166667,75.43821645833333,59.19771645833333,3188.85,493120.0,4.44,,production
2008-05-05,NO 15/9-F-12 H,24.0,262.652684375,105.88165333333333,33.309282083333336,91.71592916666667,76.31551520833334,59.75377395833333,3186.96,491322.97,4.42,,production
2008-05-06,NO 15/9-F-12 H,24.0,263.0432495833333,105.8866975,33.221430833333336,91.80668229166666,77.02496270833333,60.09477,3176.89,489872.38,4.42,,production
