date,well_name,hover_open,pressure_down,temperature_down,chock_size,pressure_top,temprature_top,chocke_pressure,oil,gas,water,water_i,FLOW_KIND
2007-11-25,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-11-26,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-11-27,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-11-28,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-11-29,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-11-30,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-01,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-02,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-03,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-04,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-05,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-06,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-07,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-08,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-09,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-10,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-11,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-12,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-13,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-14,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-15,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-16,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-17,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-18,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-19,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-20,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-21,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-22,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-23,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-24,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-25,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-26,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-27,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-28,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-29,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-30,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2007-12-31,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2008-01-01,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-02,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-03,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-04,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-05,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-06,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-07,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-08,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-09,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-10,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-11,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-12,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-13,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-14,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-15,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-16,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-17,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-18,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-19,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-20,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-21,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-01-22,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2008-01-23,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2008-01-24,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2008-01-25,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2008-01-26,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2008-01-27,NO 15/9-F-4 AH,0.0,,,,,,,,,,,injection
2008-01-28,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2008-01-29,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2008-01-30,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2008-01-31,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2008-02-01,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-02,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-03,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-04,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-05,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-06,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
